Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
modEngineTurbo1Schematic,items,Items,New,Turbo Engine Mk.I Schematic,,,,,
modEngineTurbo2Schematic,items,Items,New,Turbo Engine Mk.II Schematic,,,,,
modEngineTurbo3Schematic,items,Items,New,Turbo Engine Mk.III Schematic,,,,,
modGasTank1Schematic,items,Items,New,Gas Tank Mk.I Schematic,,,,,
modGasTank2Schematic,items,Items,New,Gas Tank Mk.II Schematic,,,,,
modGasTank3Schematic,items,Items,New,Gas Tank Mk.III Schematic,,,,,
modReserveGasTank1Schematic,items,Items,New,Gas Tank Reserve Mk.I Schematic,,,,,
modReserveGasTank2Schematic,items,Items,New,Gas Tank Reserve Mk.II Schematic,,,,,
modReserveGasTank3Schematic,items,Items,New,Gas Tank Reserve Mk.III Schematic,,,,,
modMotorToolExtension1Schematic,items,Items,New,Tool Extension Mk.I Schematic,,,,,
modMotorToolExtension2Schematic,items,Items,New,Tool Extension Mk.II Schematic,,,,,
modMotorToolExtension3Schematic,items,Items,New,Tool Extension Mk.III Schematic,,,,,
modDiamondTip1Schematic,items,Items,New,Diamond Tip Mk.I Schematic,,,,,
modDiamondTip2Schematic,items,Items,New,Diamond Tip Mk.II Schematic,,,,,
modDiamondTip3Schematic,items,Items,New,Diamond Tip Mk.III Schematic,,,,,
modBetterHandlesSchematic,items,Items,New,Better Handles Schematic,,,,,
modMotorToolSilencerSchematic,items,Items,New,Motor Silencer Schematic,,,,,
modChainsawTemperedFrame1Schematic,items,Items,New,Chainsaw Tempered Frame Mk.I Schematic,,,,,
modChainsawTemperedFrame2Schematic,items,Items,New,Chainsaw Tempered Frame Mk.II Schematic,,,,,
modChainsawTemperedFrame3Schematic,items,Items,New,Chainsaw Tempered Frame Mk.III Schematic,,,,,
modEngineTurbo1,item_modifier,Mod,New,Turbo Engine Mk.I,,,,,
modEngineTurbo2,item_modifier,Mod,New,Turbo Engine Mk.II,,,,,
modEngineTurbo3,item_modifier,Mod,New,Turbo Engine Mk.III,,,,,
modGasTank1,item_modifier,Mod,New,Gas Tank Mk.I,,,,,
modGasTank2,item_modifier,Mod,New,Gas Tank Mk.II,,,,,
modGasTank3,item_modifier,Mod,New,Gas Tank Mk.III,,,,,
modReserveGasTank1,item_modifier,Mod,New,Gas Tank Reserve Mk.I,,,,,
modReserveGasTank2,item_modifier,Mod,New,Gas Tank Reserve Mk.II,,,,,
modReserveGasTank3,item_modifier,Mod,New,Gas Tank Reserve Mk.III,,,,,
modMotorToolExtension1,item_modifier,Mod,New,Tool Extension Mk.I,,,,,
modMotorToolExtension2,item_modifier,Mod,New,Tool Extension Mk.II,,,,,
modMotorToolExtension3,item_modifier,Mod,New,Tool Extension Mk.III,,,,,
modDiamondTip1,item_modifier,Mod,New,Diamond Tip Mk.I,,,,,
modDiamondTip2,item_modifier,Mod,New,Diamond Tip Mk.II,,,,,
modDiamondTip3,item_modifier,Mod,New,Diamond Tip Mk.III,,,,,
modBetterHandles,item_modifier,Mod,New,Better Handles,,,,,
