Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
treePlantedApple0FM,blocks,Block,KgNone,"Apple Seed",,,,,
treePlantedApple0FMDesc,blocks,Block,KgNone,"Plant this in soil to grow an apple tree.",,,,,
treePlantedApple1FM,blocks,Block,KgNone,"Young Apple Tree",,,,,
treePlantedApple1FMDesc,blocks,block,KgNone,"A young apple tree. Give it time and it will grow apples to harvest.",,,,,
treePlantedApple2FM,blocks,Block,KgNone,"Large Apple Tree",,,,,
treePlantedApple2FMDesc,blocks,Block,KgNone,"A large apple tree. Give it a little more time and apples will grow.",,,,,
treePlantedApple3FM,blocks,Block,KgNone,"Grown Apple Tree",,,,,
treePlantedApple3FMDesc,blocks,Block,KgNone,"A fully grown apple tree. Not long until apples will start to sprout!",,,,,
treePlantedApple4FM,blocks,Block,KgNone,"Harvestable Apple Tree",,,,,
treePlantedApple4FMDesc,blocks,Block,KgNone,"A fully grown apple tree. Hit it to get apples!",,,,,
treePlantedPear0FM,blocks,Block,KgNone,"Pear Seed",,,,,
treePlantedPear0FMDesc,blocks,Block,KgNone,"Plant this in soil to grow an pear tree.",,,,,
treePlantedPear1FM,blocks,Block,KgNone,"Young Pear Tree",,,,,
treePlantedPear1FMDesc,blocks,block,KgNone,"A young pear tree. Give it time and it will grow pears to harvest.",,,,,
treePlantedPear2FM,blocks,Block,KgNone,"Large Pear Tree",,,,,
treePlantedPear2FMDesc,blocks,Block,KgNone,"A large pear tree. Give it a little more time and pears will grow.",,,,,
treePlantedPear3FM,blocks,Block,KgNone,"Grown Pear Tree",,,,,
treePlantedPear3FMDesc,blocks,Block,KgNone,"A fully grown pear tree. Not long until pears will start to sprout!",,,,,
treePlantedPear4FM,blocks,Block,KgNone,"Harvestable Pear Tree",,,,,
treePlantedPear4FMDesc,blocks,Block,KgNone,"A fully grown pear tree. Hit it to get pears!",,,,,
plantedSoybean1FM,blocks,Block,KgNone,"Soybean Seed",,,,,
plantedSoybean1FMDesc,blocks,Block,KgNone,"Plant this seed to grow a Soybean crop.",,,,,
plantedSoybean3HarvestFM,blocks,Block,KgNone,"Soybean Crop",,,,,
plantedSoybean3HarvestFMDesc,blocks,Block,KgNone,"Punch this to get a Soybean.",,,,,
plantedSoybean3HarvestPlayerFM,blocks,Block,KgNone,"Soybean Crop",,,,,
plantedSoybean3HarvestPlayerFMDesc,blocks,Block,KgNone,"Punch this to get some Soybeans. Increase your harvest by perking into Living Off The Land.",,,,,
plantedTomato1FM,blocks,Block,KgNone,"Tomato Seed",,,,,
plantedTomato1FMDesc,blocks,Block,KgNone,"Plant this seed to grow a Tomato crop.",,,,,
plantedTomato3HarvestFM,blocks,Block,KgNone,"Tomato Crop",,,,,
plantedTomato3HarvestFMDesc,blocks,Block,KgNone,"Punch this to get a Tomato.",,,,,
plantedTomato3HarvestPlayerFM,blocks,Block,KgNone,"Tomato Crop",,,,,
plantedTomato3HarvestPlayerFMDesc,blocks,Block,KgNone,"Punch this to get some Tomatoes. Increase your harvest by perking into Living Off The Land.",,,,,
plantedWheat1FM,blocks,Block,KgNone,"Wheat Seed",,,,,
plantedWheat1FMDesc,blocks,Block,KgNone,"Plant this seed to grow a Wheat crop.",,,,,
